transition_id,gvkey,cik,coname,appt_date,classification,predecessor,successor,pred_last_full_fy,succ_first_full_fy
2462,7620,717423.0,MURPHY OIL CORP,2013-08-30,internal,Steven A. Cosse,Roger W. Jenkins,2012,2014
5662,23978,1163302.0,UNITED STATES STEEL CORP,2013-09-01,internal,"John P. Surma, Jr.",Filho Mario Longhi,2012,2014
249,1704,6951.0,APPLIED MATERIALS INC,2013-09-01,internal,Michael R. Splinter,Gary E. Dickerson,2012,2014
1981,6268,833444.0,JOHNSON CONTROLS INTL PLC,2013-09-01,internal,Stephen A. Roell,Alex A. Molinaroli,2012,2014
9457,189491,1524472.0,XYLEM INC,2013-09-09,external,Gretchen W. McClain,Patrick K. Decker,2012,2014
1458,4843,38074.0,FOREST LABORATORIES -CL A,2013-09-30,external,Howard Solomon,"Brenton L. Saunders, J.D.",2012,2014
1185,4094,,DUN & BRADSTREET CORP,2013-10-07,external,S. Sara Mathew,Robert P. Carrigan,2012,2014
2305,7163,64040.0,S&P GLOBAL INC,2013-11-01,internal,"Harold Whittlesey McGraw, III",Douglas L. Peterson,2012,2014
832,3107,764065.0,CLEVELAND-CLIFFS INC,2013-11-18,external,Joseph A. Carrabba,Gary Bernard Halverson,2012,2014
4396,13003,801898.0,JOY GLOBAL INC,2013-12-01,internal,Michael W. Sutherlin,"Edward L. Doheny, II",2012,2014
2077,6502,56873.0,KROGER CO,2013-12-31,internal,David B. Dillon,W. Rodney McMullen,2012,2014
1771,5742,1130310.0,CENTERPOINT ENERGY INC,2013-12-31,internal,David M. McClanahan,Scott M. Prochazka,2012,2014
9425,187128,1518832.0,WPX ENERGY INC,2013-12-31,external,Ralph A. Hill,Richard E. Muncrief,2012,2014
8009,100873,,NIELSEN HOLDINGS PLC,2014-01-01,internal,David L. Calhoun,Dwight Mitchell Barns,2013,2014
9146,176404,1377013.0,TIME WARNER CABLE INC,2014-01-01,internal,Glenn Alan Britt,Robert D. Marcus,2013,2014
8992,163946,1324404.0,CF INDUSTRIES HOLDINGS INC,2014-01-01,internal,Stephen R. Wilson,W. Anthony Will,2013,2014
8538,140541,1116132.0,TAPESTRY INC,2014-01-01,internal,Lew Frankfort,Victor Luis,2013,2014
