transition_id,cik,coname,classification,succ_total,succ_salary,succ_name_parsed,succ_accession,succ_status,pred_total,pred_salary,pred_name_parsed,pred_accession,pred_status,comp_ratio_succ_over_pred
3949,36270,WILMINGTON TRUST CORP,external,,,Chairman of the Board and Chief Executive Officer of M&T Bank Corporation and M&T Bank,0001193125-12-099751,ok,,,,0000950123-10-021272,ceo-row-not-found,
4804,800240,OFFICE DEPOT INC,external,,,Neil Austrian (5)  Chief Executive Officer,0001193125-12-117334,ok,,,,0001193125-10-054017,ceo-row-not-found,
3252,90185,SIGMA-ALDRICH CORP,internal,,,Rakesh Sachdev President and CEO,0001193125-12-109841,ok,,,"President, CEO, Chairman",0001193125-10-056895,ok,
3304,92122,SOUTHERN CO,internal,,,"Thomas A. Fanning Chairman, President, and Chief Executive Officer",0000092122-12-000053,ok,,,,0000092122-10-000028,ceo-row-not-found,
2859,78003,PFIZER INC,internal,,,I. Read Chairman and Chief Executive Officer*,0001193125-12-117131,ok,,,,0001193125-10-057949,ceo-row-not-found,
5656,873364,CEPHALON INC,internal,,,,,no-proxy-for-year,,,"Frank Baldino, Jr., Ph.D.",0001047469-10-003126,ok,
8578,37748,MASSEY ENERGY CO,internal,,,,,no-proxy-for-year,,,,0001193125-10-209040,ceo-row-not-found,
7253,1000180,SANDISK CORP,internal,,,"Sanjay Mehrotra,",0001193125-12-195956,ok,,,"Dr. Eli Harari,",0001193125-10-090192,ok,
3936,107263,WILLIAMS COS INC,internal,,,Alan S. Armstrong,0001193125-12-151609,ok,,,,0000950123-10-033162,ceo-row-not-found,
2345,310158,MERCK & CO,internal,,,"Kenneth C. Frazier,",0001193125-12-160767,ok,,,"Richard T. Clark,",0001193125-11-096556,ok,
8078,1060391,REPUBLIC SERVICES INC,internal,,,Donald W. Slager,0001193125-12-152112,ok,,,,0000950123-11-031647,ceo-row-not-found,
4830,20286,CINCINNATI FINANCIAL CORP,internal,,,Steven J. Johnston,0001144204-12-015510,ok,,,,0001144204-11-015735,ceo-row-not-found,
2453,68505,MOTOROLA SOLUTIONS INC,internal,,,Gregory Q. Brown,0001193125-13-111188,ok,,,President and Chief Executive Officer,0001193125-11-066627,ok,
2672,797468,OCCIDENTAL PETROLEUM CORP,internal,,,,0000797468-13-000018,ceo-row-not-found,,,"Ray R. Irani, Chairman and Chief Executive Officer",0000797468-11-000028,ok,
45,2488,ADVANCED MICRO DEVICES,external,,,Rory P. Read(7),0001193125-13-124372,ok,,,Derrick R. Meyer(6),0001193125-11-062274,ok,
10384,1457543,CAREFUSION CORP,external,,,Kieran T. Gallahue Chairman and CEO,0001193125-13-380068,ok,,,Kieran T. Gallahue Chairman and CEO,0001193125-11-253686,ok,
1444,1124198,FLUOR CORP,internal,,,,0001047469-13-002655,ceo-row-not-found,,,,0001047469-11-002149,ceo-row-not-found,
2007,1310067,SEARS HOLDINGS CORP,external,,,Chief Executive Officer,0001193125-13-132309,ok,,,W. Bruce Johnson,0001193125-11-092836,ok,
