transition_id,cik,coname,classification,predecessor,successor,pred_last_full_fy,pred_proxy_year,succ_first_full_fy,succ_proxy_year
6682,912615,URBAN OUTFITTERS INC,internal,Glen T. Senk,Richard A. Hayne,2011,2012,2013,2014
2372,723125,MICRON TECHNOLOGY INC,internal,Steven R. Appleton,Mark M. Dermot Durcan,2011,2012,2013,2014
3407,310764,STRYKER CORP,internal,Stephen P. MacMillan,Kevin A. Lobo,2011,2012,2013,2014
2399,66740,3M CO,internal,"George W. Buckley, Ph.D.","Inge G. Thulin, M.B.A.",2011,2012,2013,2014
3426,95304,SUNOCO INC,internal,Lynn Laverty Elsenhans,Brian P. MacDonald,2011,2012,2013,2014
2784,75829,PALL CORP,external,Eric Krasnoff,Lawrence D. Kingsley,2011,2012,2013,2014
1242,31978,EL PASO ELECTRIC CO,external,David Wayne Stevens,"Thomas V. Shockley, III",2011,2012,2013,2014
3697,100885,UNION PACIFIC CORP,internal,James R. Young,John J. Koraleski,2011,2012,2013,2014
920,1688568,DXC TECHNOLOGY COMPANY,external,Michael W. Laphen,John Michael Lawrie,2011,2012,2013,2014
6629,1048286,MARRIOTT INTL INC,internal,"John Willard Marriott, Jr.",Arne M. Sorenson,2011,2012,2013,2014
443,764478,BEST BUY CO INC,external,Brian J. Dunn,Hubert Joly,2011,2012,2013,2014
319,8868,AVON PRODUCTS,external,Andrea Jung,Sherilyn S. D. McCoy,2011,2012,2013,2014
1977,200406,JOHNSON & JOHNSON,internal,William C. Weldon,Alex Gorsky,2011,2012,2013,2014
8860,1276520,GENWORTH FINANCIAL INC,external,Michael Desmond Fraizer,Thomas J. McInerney,2011,2012,2013,2014
8757,1156375,CME GROUP INC,internal,Craig Steven Donohue,Phupinder S. Gill,2011,2012,2013,2014
7668,1022079,QUEST DIAGNOSTICS INC,external,Surya N. Mohapatra,Stephen H. Rusckowski,2011,2012,2013,2014
4082,773910,ANADARKO PETROLEUM CORP,internal,James T. Hackett,Robert A. Walker,2011,2012,2013,2014
2874,764180,ALTRIA GROUP INC,internal,Michael E. Szymanczyk,Martin J. Barrington,2011,2012,2013,2014
195,318154,AMGEN INC,internal,Kevin W. Sharer,Robert A. Bradway,2011,2012,2013,2014
2879,1163165,CONOCOPHILLIPS,internal,James J. Mulva,Ryan M. Lance,2011,2012,2013,2014
9031,1336920,LEIDOS HOLDINGS INC,external,Walter P. Havenstein,John P. Jumper,2011,2012,2013,2014
2461,717423,MURPHY OIL CORP,internal,David M. Wood,Steven A. Cosse,2011,2012,2013,2014
2299,63908,MCDONALD'S CORP,internal,James A. Skinner,Donald Thompson,2011,2012,2013,2014
4391,804212,AIRGAS INC,internal,Peter McCausland,Michael L. Molinini,2011,2012,2013,2014
3800,203527,VARIAN MEDICAL SYSTEMS INC,internal,Timothy E. Guertin,Dow R. Wilson,2011,2012,2013,2014
7402,931336,DEAN FOODS CO,internal,Gregg L. Engles,Gregg A. Tanner,2011,2012,2013,2014
1816,49826,ILLINOIS TOOL WORKS,internal,David B. Speer,E. Scott Santi,2011,2012,2013,2014
889,831001,CITIGROUP INC,internal,Vikram Shankar Pandit,Michael L. Corbat,2011,2012,2013,2014
9271,1403161,VISA INC,external,Joseph W. Saunders,Charles W. Scharf,2011,2012,2013,2014
6098,885725,BOSTON SCIENTIFIC CORP,internal,William H. Kucheman,Michael F. Mahoney,2011,2012,2013,2014
9482,1138118,CBRE GROUP INC,internal,W. Brett White,Robert E. Sulentic,2011,2012,2013,2014
6588,908255,BORGWARNER INC,internal,Timothy M. Manganello,James R. Verrier,2011,2012,2013,2014
6615,1418135,KEURIG DR PEPPER INC,external,Lawrence J. Blanford,Brian P. Kelley,2011,2012,2013,2014
8377,1086222,AKAMAI TECHNOLOGIES INC,internal,Paul L. Sagan,"F. Thomson Leighton, Ph.D.",2011,2012,2013,2014
1521,40533,GENERAL DYNAMICS CORP,internal,Jay Lynn Johnson,Phebe N. Novakovic,2011,2012,2013,2014
8579,1121788,GARMIN LTD,internal,"Min-Hwan Kao, Ph.D.",Clifton A. Pemble,2011,2012,2013,2014
6382,49071,HUMANA INC,internal,Michael B. McCallister,Bruce D. Broussard,2011,2012,2013,2014
3123,85961,RYDER SYSTEM INC,internal,Gregory T. Swienton,Robert E. Sanchez,2012,2013,2013,2014
3905,106535,WEYERHAEUSER CO,external,Daniel S. Fulton,Doyle R. Simons,2012,2013,2013,2014
2910,78814,PITNEY BOWES INC,external,Murray D. Martin,Marc B. Lautenbach,2012,2013,2013,2014
2658,73309,NUCOR CORP,internal,Daniel R. DiMicco,John J. Ferriola,2012,2013,2013,2014
2380,65984,ENTERGY CORP,internal,J. Wayne Leonard,Leo P. Denault,2012,2013,2013,2014
8204,1075531,BOOKING HOLDINGS INC,external,Jeffery H. Boyd,Darren Richard Huston,2012,2013,2013,2014
7534,861878,STERICYCLE INC,internal,Mark C. Miller,Charles A. Alutto,2012,2013,2013,2014
3889,106040,WESTERN DIGITAL CORP,external,John F. Coyne,Stephen D. Milligan,2012,2013,2013,2014
2164,936468,LOCKHEED MARTIN CORP,internal,Robert J. Stevens,Marillyn A. Hewson,2012,2013,2013,2014
7361,1020569,IRON MOUNTAIN INC,external,C. Richard Reese,William L. Meaney,2012,2013,2014,2015
3201,1012100,SEALED AIR CORP,external,William V. Hickey,Jerome A. Peribere,2012,2013,2014,2015
6476,898293,JABIL INC,internal,Timothy L. Main,Mark T. Mondello,2012,2013,2014,2015
2575,1164727,NEWMONT MINING CORP,internal,"Richard T. OBrien, B.A., J.D.","Gary J. Goldberg, B.S., M.B.A.",2012,2013,2014,2015
203,6281,ANALOG DEVICES,internal,Jerald G. Fishman,Vincent T. Roche,2012,2013,2014,2015
5069,712515,ELECTRONIC ARTS INC,internal,John S. Riccitiello,Andrew Wilson,2012,2013,2014,2015
3816,899689,VORNADO REALTY TRUST,internal,Michael D. Fascitelli,Steven Roth,2012,2013,2014,2015
9327,1452575,MEAD JOHNSON NUTRITION CO,internal,Stephen W. Golsby,Peter Kasper Jakobsen,2012,2013,2014,2015
9280,1413329,PHILIP MORRIS INTERNATIONAL,internal,"Louis Carey Camilleri, BA",Andre Calantzopoulos,2012,2013,2014,2015
3152,86144,SAFEWAY INC,internal,Steven A. Burd,Robert L. Edwards,2012,2013,2014,2015
1856,50863,INTEL CORP,internal,Paul S. Otellini,Brian Matthew Krzanich,2012,2013,2014,2015
6533,354908,FLIR SYSTEMS INC,internal,"Earl Ray Lewis, III",Andrew C. Teich,2012,2013,2014,2015
2963,80424,PROCTER & GAMBLE CO,external,Robert A. McDonald,Alan George Lafley,2012,2013,2014,2015
5318,1032033,SLM CORP,internal,Albert L. Lord,John F. Remondi,2012,2013,2014,2015
6570,863157,PETSMART INC,internal,Robert F. Moran,David K. Lenhardt,2012,2013,2014,2015
5025,821189,EOG RESOURCES INC,internal,Mark G. Papa,William R. Thomas,2012,2013,2014,2015
1178,1326160,DUKE ENERGY CORP,internal,"James E. Rogers, Jr.",Lynn J. Good,2012,2013,2014,2015
2236,101778,MARATHON OIL CORP,external,"Clarence P. Cazalot, Jr.",Lee M. Tillman,2012,2013,2014,2015
8288,1043604,JUNIPER NETWORKS INC,external,Kevin R. Johnson,Shaygan Kheradpir,2012,2013,2014,2015
8633,1137411,ROCKWELL COLLINS,internal,Clayton M. Jones,Robert K. Ortberg,2012,2013,2014,2015
2462,717423,MURPHY OIL CORP,internal,Steven A. Cosse,Roger W. Jenkins,2012,2013,2014,2015
5662,1163302,UNITED STATES STEEL CORP,internal,"John P. Surma, Jr.",Filho Mario Longhi,2012,2013,2014,2015
249,6951,APPLIED MATERIALS INC,internal,Michael R. Splinter,Gary E. Dickerson,2012,2013,2014,2015
1981,833444,JOHNSON CONTROLS INTL PLC,internal,Stephen A. Roell,Alex A. Molinaroli,2012,2013,2014,2015
9457,1524472,XYLEM INC,external,Gretchen W. McClain,Patrick K. Decker,2012,2013,2014,2015
1458,38074,FOREST LABORATORIES -CL A,external,Howard Solomon,"Brenton L. Saunders, J.D.",2012,2013,2014,2015
2305,64040,S&P GLOBAL INC,internal,"Harold Whittlesey McGraw, III",Douglas L. Peterson,2012,2013,2014,2015
832,764065,CLEVELAND-CLIFFS INC,external,Joseph A. Carrabba,Gary Bernard Halverson,2012,2013,2014,2015
4396,801898,JOY GLOBAL INC,internal,Michael W. Sutherlin,"Edward L. Doheny, II",2012,2013,2014,2015
2077,56873,KROGER CO,internal,David B. Dillon,W. Rodney McMullen,2012,2013,2014,2015
1771,1130310,CENTERPOINT ENERGY INC,internal,David M. McClanahan,Scott M. Prochazka,2012,2013,2014,2015
9425,1518832,WPX ENERGY INC,external,Ralph A. Hill,Richard E. Muncrief,2012,2013,2014,2015
9146,1377013,TIME WARNER CABLE INC,internal,Glenn Alan Britt,Robert D. Marcus,2013,2014,2014,2015
8992,1324404,CF INDUSTRIES HOLDINGS INC,internal,Stephen R. Wilson,W. Anthony Will,2013,2014,2014,2015
8538,1116132,TAPESTRY INC,internal,Lew Frankfort,Victor Luis,2013,2014,2014,2015
6740,915389,EASTMAN CHEMICAL CO,internal,James P. Rogers,Mark J. Costa,2013,2014,2014,2015
1739,354950,HOME DEPOT INC,internal,Francis S. Blake,Craig A. Menear,2013,2014,2015,2016
1537,1467858,GENERAL MOTORS CO,internal,Daniel Francis Akerson,Mary T. Barra,2013,2014,2015,2016
2709,1039684,ONEOK INC,internal,John W. Gibson,Terry K. Spencer,2013,2014,2015,2016
3831,104169,WALMART INC,internal,Michael Terry Duke,C. Douglas McMillon,2013,2014,2015,2016
4129,789019,MICROSOFT CORP,internal,Steven A. Ballmer,Satya Nadella,2013,2014,2015,2016
2256,62996,MASCO CORP,internal,Timothy Wadhams,Keith J. Allman,2013,2014,2015,2016
7612,1021860,NATIONAL OILWELL VARCO INC,internal,"Merrill A. Miller, Jr.",Clay C. Williams,2013,2014,2015,2016
1313,746515,EXPEDITORS INTL WASH INC,internal,Peter J. Rose,Jeffrey S. Musser,2013,2014,2015,2016
5929,804328,QUALCOMM INC,internal,"Paul E. Jacobs, Ph.D.",Steven M. Mollenkopf,2013,2014,2015,2016
1697,46765,HELMERICH & PAYNE,internal,"Hans Christian Helmerich, III",John W. Lindsay,2013,2014,2015,2016
3034,1047122,RAYTHEON CO,internal,William H. Swanson,Thomas A. Kennedy,2013,2014,2015,2016
1683,766704,WELLTOWER INC,external,George L. Chapman,Thomas J. DeRosa,2013,2014,2015,2016
2753,75362,PACCAR INC,internal,Mark C. Pigott,"Ronald E. Armstrong, CPA",2013,2014,2015,2016
8254,1275283,REYNOLDS AMERICAN INC,external,Daniel M. Delen,Susan M. Cameron,2013,2014,2015,2016
4916,1035002,VALERO ENERGY CORP,internal,William R. Klesse,Joseph W. Gorder,2013,2014,2015,2016
3100,745732,ROSS STORES INC,internal,Michael Balmuth,Barbara Rentler,2013,2014,2015,2016
1058,27419,TARGET CORP,external,Gregg W. Steinhafel,Brian C. Cornell,2013,2014,2015,2016
8231,1070412,CNX RESOURCES CORPORATION,internal,J. Brett Harvey,Nicholas J. DeIuliis,2013,2014,2015,2016
67,2969,AIR PRODUCTS & CHEMICALS INC,external,John E. McGlade,Seifollah Ghasemi,2013,2014,2015,2016
3819,1396009,VULCAN MATERIALS CO,internal,Donald M. James,J. Thomas Hill,2013,2014,2015,2016
1454,37996,FORD MOTOR CO,internal,Alan R. Mulally,Mark Fields,2013,2014,2015,2016
434,11199,BEMIS CO INC,internal,Henry J. Theisen,William F. Austen,2013,2014,2015,2016
1887,51253,INTL FLAVORS & FRAGRANCES,external,"Douglas D. Tough, B.B.A., BBA, M.B.A., MBA",Andreas Fibig,2013,2014,2015,2016
165,5272,AMERICAN INTERNATIONAL GROUP,internal,Robert Herman Benmosche,Peter D. Hancock,2013,2014,2015,2016
3722,1090727,UNITED PARCEL SERVICE INC,internal,"D. Scott Davis, C.P.A., CPA",David P. Abney,2013,2014,2015,2016
1047,313616,DANAHER CORP,internal,"H. Lawrence Culp, Jr.","Thomas P. Joyce, Jr.",2013,2014,2015,2016
6124,882184,D R HORTON INC,internal,Donald J. Tomnitz,David V. Auld,2013,2014,2015,2016
7080,940944,DARDEN RESTAURANTS INC,internal,"Clarence Otis, Jr.","Eugene I. Lee, Jr.",2013,2014,2015,2016
2589,72207,NOBLE ENERGY INC,internal,Charles D. Davidson,David L. Stover,2013,2014,2015,2016
1906,51434,INTL PAPER CO,internal,John V. Faraci,Mark S. Sutton,2013,2014,2015,2016
8289,1043604,JUNIPER NETWORKS INC,internal,Shaygan Kheradpir,Rami Rahim,2013,2014,2015,2016
837,21076,CLOROX CO/DE,internal,Donald R. Knauss,Benno O. Dorer,2013,2014,2015,2016
4393,1545158,KRAFT FOODS GROUP INC,external,William Anthony Vernon,John T. Cahill,2013,2014,2015,2016
4705,815556,FASTENAL CO,internal,Willard D. Oberton,"Leland J. Hein, Jr.",2013,2014,2015,2016
7847,1041061,YUM BRANDS INC,internal,David C. Novak,Greg Creed,2013,2014,2015,2016
985,24545,MOLSON COORS BREWING CO,internal,Peter S. Swinburn,Mark Roderick Hunter,2013,2014,2015,2016
8842,1267238,ASSURANT INC,internal,Robert Brian Pollock,Alan B. Colberg,2013,2014,2015,2016
3157,203077,ST JUDE MEDICAL INC,internal,Daniel J. Starks,Michael T. Rousseau,2014,2015,2015,2016
4324,5513,UNUM GROUP,internal,Thomas Ros Watjen,Richard P. McKenney,2014,2015,2015,2016
257,7084,ARCHER-DANIELS-MIDLAND CO,internal,Patricia A. Woertz,Juan R. Luciano,2014,2015,2015,2016
8115,1065088,EBAY INC,internal,"John J. Donahoe, II",Devin N. Wenig,2014,2015,2015,2016
9057,1136893,FIDELITY NATIONAL INFO SVCS,internal,"Frank R. Martire, Jr.",Gary A. Norcross,2014,2015,2015,2016
2690,1031296,FIRSTENERGY CORP,internal,Anthony J. Alexander,"Charles E. Jones, Jr.",2014,2015,2015,2016
3839,1618921,WALGREENS BOOTS ALLIANCE INC,external,Gregory David Wasson,Stefano Pessina,2014,2015,2016,2017
2269,63276,MATTEL INC,external,Bryan G. Stockton,Christopher A. Sinclair,2014,2015,2016,2017
2300,63908,MCDONALD'S CORP,internal,Donald Thompson,Stephen J. Easterbrook,2014,2015,2016,2017
2800,76334,PARKER-HANNIFIN CORP,internal,Donald E. Washkewicz,Thomas L. Williams,2014,2015,2016,2017
6506,1451505,TRANSOCEAN LTD,external,"Steven Leon Newman, Ph.D.",Jeremy D. Thigpen,2014,2015,2016,2017
8181,1521332,APTIV PLC,internal,Rodney O'Neal,Kevin P. Clark,2014,2015,2016,2017
8395,1090872,AGILENT TECHNOLOGIES INC,internal,William P. Sullivan,Michael R. McMullen,2014,2015,2016,2017
4597,98246,TIFFANY & CO,internal,Michael J. Kowalski,Frederic Patrick Cumenal,2014,2015,2016,2017
7347,899866,ALEXION PHARMACEUTICALS INC,internal,Leonard Bell,David L. Hallal,2014,2015,2016,2017
8476,20520,FRONTIER COMMUNICATIONS CORP,internal,Mary Agnes Wilderotter,Daniel J. McCarthy,2014,2015,2016,2017
934,23217,CONAGRA BRANDS INC,external,Gary M. Rodkin,Sean M. Connolly,2014,2015,2016,2017
8256,1048695,F5 NETWORKS INC,external,John McAdam,Manuel F. Rivelo,2014,2015,2016,2017
4210,793952,HARLEY-DAVIDSON INC,internal,Keith E. Wandell,Matthew S. Levatich,2014,2015,2016,2017
538,14272,BRISTOL-MYERS SQUIBB CO,internal,Lamberto Andreotti,"Giovanni Caforio, M.D.",2014,2015,2016,2017
2600,702165,NORFOLK SOUTHERN CORP,internal,"Charles W. Moorman, IV",James A. Squires,2014,2015,2016,2017
7288,1002047,NETAPP INC,internal,Thomas Georgens,George Kurian,2014,2015,2016,2017
2012,1506307,KINDER MORGAN INC,internal,Richard D. Kinder,Steven J. Kean,2014,2015,2016,2017
1123,29534,DOLLAR GENERAL CORP,internal,Richard W. Dreiling,Todd J. Vasos,2014,2015,2016,2017
500,12927,BOEING CO,internal,"W. James McNerney, Jr.",Dennis A. Muilenburg,2014,2015,2016,2017
2614,1111711,NISOURCE INC,internal,"Robert C. Skaggs, Jr.",Joseph J. Hamrock,2014,2015,2016,2017
4706,815556,FASTENAL CO,external,"Leland J. Hein, Jr.",Willard D. Oberton,2014,2015,2016,2017
5336,858877,CISCO SYSTEMS INC,internal,John T. Chambers,Charles H. Robbins,2014,2015,2016,2017
4872,1090012,DEVON ENERGY CORP,internal,John Richels,David A. Hager,2014,2015,2016,2017
8921,1285785,MOSAIC CO,internal,James T. Prokopanko,James C. O'Rourke,2014,2015,2016,2017
8679,1126328,PRINCIPAL FINANCIAL GRP INC,internal,Larry Donald Zimpleman,Daniel J. Houston,2014,2015,2016,2017
2750,79879,PPG INDUSTRIES INC,internal,Charles E. Bunch,Michael H. McGarry,2014,2015,2016,2017
3668,100517,UNITED CONTINENTAL HLDGS INC,external,Jeffery A. Smisek,Oscar Munoz,2014,2015,2016,2017
7279,1000697,WATERS CORP,external,Douglas A. Berthiaume,Christopher James O'Connell,2014,2015,2016,2017
3698,100885,UNION PACIFIC CORP,internal,John J. Koraleski,Lance M. Fritz,2014,2015,2016,2017
7136,941548,CAMERON INTERNATIONAL CORP,internal,Jack B. Moore,Scott C. Rowe,2014,2015,2016,2017
7298,877890,CITRIX SYSTEMS INC,external,Mark B. Templeton,Kirill Tatarinov,2014,2015,2016,2017
2964,80424,PROCTER & GAMBLE CO,internal,Alan George Lafley,David S. Taylor,2014,2015,2016,2017
1370,35527,FIFTH THIRD BANCORP,internal,Kevin T. Kabat,Gregory D. Carmichael,2014,2015,2016,2017
7758,1037038,RALPH LAUREN CORP,external,Ralph Lauren,Stefan Larsson,2014,2015,2016,2017
1715,47217,HP INC,internal,Margaret Cushing Whitman,Dion J. Weisler,2014,2015,2016,2017
8480,1013871,NRG ENERGY INC,internal,David W. Crane,Mauricio Gutierrez,2014,2015,2016,2017
2736,812074,OWENS-ILLINOIS INC,internal,"Albert P. L. Stroucken, Ph.D.",Andres A. Lopez,2014,2015,2016,2017
4123,1113169,PRICE (T. ROWE) GROUP,internal,"James Aloysius-Charles Kennedy, C.F.A., CFA","William J. Stromberg, C.F.A.",2014,2015,2016,2017
2124,58492,LEGGETT & PLATT INC,internal,David S. Haffner,Karl G. Glassman,2014,2015,2016,2017
3238,89800,SHERWIN-WILLIAMS CO,internal,Christopher M. Connor,John G. Morikis,2014,2015,2016,2017
8257,1048695,F5 NETWORKS INC,external,Manuel F. Rivelo,John McAdam,2014,2015,2016,2017
8104,1051470,CROWN CASTLE INTL CORP,internal,W. Benjamin Moreland,Jay A. Brown,2015,2016,2016,2017
7975,1050915,QUANTA SERVICES INC,internal,"James Francis O'Neil, III","Earl C. Austin, Jr.",2015,2016,2016,2017
5908,879101,KIMCO REALTY CORP,internal,David Beard Henry,Conor C. Flynn,2015,2016,2016,2017
8758,1156375,CME GROUP INC,internal,Phupinder S. Gill,Terrence A. Duffy,2015,2016,2016,2017
406,10456,BAXTER INTERNATIONAL INC,external,"Robert L. Parkinson, Jr.",Jose E. Almeida,2015,2016,2016,2017
782,313927,CHURCH & DWIGHT INC,internal,James R. Craigie,Matthew T. Farrell,2015,2016,2016,2017
8687,1158449,ADVANCE AUTO PARTS INC,external,Darren R. Jackson,Thomas R. Greco,2015,2016,2017,2018
3320,7332,SOUTHWESTERN ENERGY CO,internal,Steven L. Mueller,William J. Way,2015,2016,2017,2018
4018,109198,TJX COMPANIES INC,internal,Carol M. Meyrowitz,Ernie L. Herrman,2015,2016,2017,2018
2286,63754,MCCORMICK & CO INC,internal,Alan D. Wilson,Lawrence E. Kurzius,2015,2016,2017,2018
4580,816284,CELGENE CORP,internal,"Robert J. Hugin, MBA",Mark J. Alles,2015,2016,2017,2018
5943,882095,GILEAD SCIENCES INC,internal,"John C. Martin, Ph.D.","John F. Milligan, Ph.D.",2015,2016,2017,2018
3275,91419,SMUCKER (JM) CO,internal,Richard K. Smucker,Mark T. Smucker,2015,2016,2017,2018
5920,1585364,PERRIGO CO PLC,internal,Joseph C. Papa,John T. Hendrickson,2015,2016,2017,2018
8205,1075531,BOOKING HOLDINGS INC,internal,Darren Richard Huston,Glenn D. Fogel,2015,2016,2017,2018
2673,797468,OCCIDENTAL PETROLEUM CORP,internal,Stephen I. Chazen,Vicki A. Hollub,2015,2016,2017,2018
311,8818,AVERY DENNISON CORP,internal,Dean A. Scarborough,Mitchell R. Butier,2015,2016,2017,2018
9531,783325,WEC ENERGY GROUP INC,internal,Gale E. Klappa,Allen Lewis Leverett,2015,2016,2017,2018
1073,27904,DELTA AIR LINES INC,internal,Richard H. Anderson,Edward H. Bastian,2015,2016,2017,2018
2609,72741,EVERSOURCE ENERGY,internal,Thomas J. May,James J. Judge,2015,2016,2017,2018
6129,1532063,EXPRESS SCRIPTS HOLDING CO,internal,George Paz,Timothy C. Wentworth,2015,2016,2017,2018
9205,816761,TERADATA CORP,external,Michael F. Koehler,Victor Lynn Lund,2015,2016,2017,2018
192,1037868,AMETEK INC,internal,Frank S. Hermance,David A. Zapico,2015,2016,2017,2018
107,4127,SKYWORKS SOLUTIONS INC,internal,David J. Aldrich,Liam K. Griffin,2015,2016,2017,2018
1220,1551182,EATON CORP PLC,internal,Alexander M. Cutler,Craig Arnold,2015,2016,2017,2018
4973,791519,STAPLES INC,internal,"Ronald L. Sargent, M.B.A.",Shira D. Goodman,2015,2016,2017,2018
9132,1274494,FIRST SOLAR INC,internal,James A. Hughes,Mark R. Widmar,2015,2016,2017,2018
960,201533,CMS ENERGY CORP,internal,John G. Russell,Patricia Kessler Poppe,2015,2016,2017,2018
2023,54480,KANSAS CITY SOUTHERN,internal,David L. Starling,Patrick J. Ottensmeyer,2015,2016,2017,2018
3084,1024478,ROCKWELL AUTOMATION,internal,Keith D. Nosbusch,Blake D. Moret,2015,2016,2017,2018
8505,1110803,ILLUMINA INC,internal,Jay T. Flatley,Francis A. deSouza,2015,2016,2017,2018
3365,93556,STANLEY BLACK & DECKER INC,internal,John F. Lundgren,James M. Loree,2015,2016,2017,2018
9043,1339947,VIACOM INC,internal,Philippe P. Dauman,Robert M. Bakish,2015,2016,2017,2018
7707,1170010,CARMAX INC,internal,Thomas Joseph Folliard,William D. Nash,2015,2016,2017,2018
1609,277135,GRAINGER (W W) INC,internal,James T. Ryan,Donald G. Macpherson,2015,2016,2017,2018
2994,822416,PULTEGROUP INC,internal,"Richard J. Dugas, Jr.",Ryan R. Marshall,2015,2016,2017,2018
9126,1359841,HANESBRANDS INC,internal,Richard A. Noll,"Gerald W. Evans, Jr.",2015,2016,2017,2018
1755,48465,HORMEL FOODS CORP,internal,Jeffrey M. Ettinger,James P. Snee,2015,2016,2017,2018
4778,823768,WASTE MANAGEMENT INC,internal,David P. Steiner,"James C. Fish, Jr.",2015,2016,2017,2018
4735,1038357,PIONEER NATURAL RESOURCES CO,internal,Scott Douglas Sheffield,Timothy L. Dove,2015,2016,2017,2018
9272,1403161,VISA INC,external,Charles W. Scharf,"Alfred Francis Kelly, Jr.",2015,2016,2017,2018
7348,899866,ALEXION PHARMACEUTICALS INC,external,David L. Hallal,"Ludwig N. Hantson, Ph.D.",2015,2016,2017,2018
1320,34088,EXXON MOBIL CORP,internal,Rex W. Tillerson,Darren W. Woods,2015,2016,2017,2018
8763,1120193,NASDAQ INC,internal,Robert Greifeld,Adena T. Friedman,2015,2016,2017,2018
3659,100493,TYSON FOODS INC -CL A,internal,Donnie Smith,Thomas P. Hayes,2015,2016,2017,2018
8890,1289490,EXTRA SPACE STORAGE INC,external,Spencer F. Kirk,Joseph D. Margolis,2015,2016,2017,2018
4000,1770450,XEROX CORP,internal,Ursula Maxine Burns,Jeffrey Jacobson,2015,2016,2017,2018
2140,59478,LILLY (ELI) & CO,internal,John C. Lechleiter,David A. Ricks,2015,2016,2017,2018
3788,103379,VF CORP,internal,Eric C. Wiseman,Steven E. Rendle,2015,2016,2017,2018
8255,1275283,REYNOLDS AMERICAN INC,internal,Susan M. Cameron,Debra A. Crew,2016,2017,2017,2018
698,18230,CATERPILLAR INC,internal,Douglas Ray Oberhelman,"D. James Umpleby, III",2016,2017,2017,2018
1295,33213,EQT CORP,internal,David L. Porges,Steven T. Schlotterbeck,2016,2017,2017,2018
1362,794367,MACY'S INC,internal,Terry J. Lundgren,Jeffrey Gennette,2016,2017,2017,2018
2242,1070750,HOST HOTELS & RESORTS INC,internal,"W. Edward Walter, III",James F. Risoleo,2016,2017,2017,2018
5820,875045,BIOGEN INC,external,"George A. Scangos, Ph.D.",Michel Vounatsos,2016,2017,2018,2019
4598,98246,TIFFANY & CO,external,Frederic Patrick Cumenal,Alessandro Bogliolo,2016,2017,2018,2019
302,769397,AUTODESK INC,internal,Carl Bass,Andrew Anagnost,2016,2017,2018,2019
2270,63276,MATTEL INC,external,Christopher A. Sinclair,Mary Margaret-Hastings Georgiadis,2016,2017,2018,2019
1708,47111,HERSHEY CO,internal,John P. Bilbrey,Michele G. Buck,2016,2017,2018,2019
617,277948,CSX CORP,external,Michael Jon Ward,"E. Hunter Harrison, LL.D.",2016,2017,2018,2019
102,773840,HONEYWELL INTERNATIONAL INC,internal,David M. Cote,Darius Adamczyk,2016,2017,2018,2019
1197,30625,FLOWSERVE CORP,external,"Mark A. Blinn, C.F.A.",R. Scott Rowe,2016,2017,2018,2019
8258,1048695,F5 NETWORKS INC,external,John McAdam,Francois Locoh-Donou,2016,2017,2018,2019
6146,829224,STARBUCKS CORP,internal,Howard D. Schultz,Kevin R. Johnson,2016,2017,2018,2019
850,21344,COCA-COLA CO,internal,Muhtar Kent,James R. Quincey,2016,2017,2018,2019
7759,1037038,RALPH LAUREN CORP,external,Stefan Larsson,Patrice J. Louvet,2016,2017,2018,2019
2373,723125,MICRON TECHNOLOGY INC,external,Mark M. Dermot Durcan,Sanjay Mehrotra,2016,2017,2018,2019
166,5272,AMERICAN INTERNATIONAL GROUP,external,Peter D. Hancock,Brian Charles Duperreault,2016,2017,2018,2019
1455,37996,FORD MOTOR CO,internal,Mark Fields,James Patrick Hackett,2016,2017,2018,2019
8815,1065696,LKQ CORP,internal,Robert Louis Wagman,Dominick P. Zarcone,2016,2017,2018,2019
1498,39899,TEGNA INC,internal,Gracia Catherine Martore,David T. Lougee,2016,2017,2018,2019
1644,45012,HALLIBURTON CO,internal,"David John Lesar, B.Sc., C.P.A., CPA, M.B.A.",Jeffrey A. Miller,2016,2017,2018,2019
6237,891024,PATTERSON COMPANIES INC,external,Scott P. Anderson,Mark S. Walchirk,2016,2017,2018,2019
1532,40704,GENERAL MILLS INC,internal,Kendall J. Powell,Jeffrey L. Harmening,2016,2017,2018,2019
6534,354908,FLIR SYSTEMS INC,external,Andrew C. Teich,James J. Cannon,2016,2017,2018,2019
1559,40987,GENUINE PARTS CO,internal,Thomas C. Gallagher,Paul D. Donahue,2016,2017,2018,2019
7299,877890,CITRIX SYSTEMS INC,internal,Kirill Tatarinov,David James Henshall,2016,2017,2018,2019
4371,804753,CERNER CORP,external,Neal L. Patterson,David Brent Shafer,2016,2017,2018,2019
8648,1136869,ZIMMER BIOMET HOLDINGS INC,external,David Carr Dvorak,Bryan C. Hanson,2016,2017,2018,2019
1524,40545,GENERAL ELECTRIC CO,internal,Jeffrey R. Immelt,John L. Flannery,2016,2017,2018,2019
4970,832988,SIGNET JEWELERS LTD,external,Mark S. Light,Virginia C. Drosos,2016,2017,2018,2019
8386,1324424,EXPEDIA GROUP INC,internal,Dara Khosrowshahi,Mark D. Okerstrom,2016,2017,2018,2019
3713,731766,UNITEDHEALTH GROUP INC,internal,Stephen J. Hemsley,David Scott Wichmann,2016,2017,2018,2019
7059,935703,DOLLAR TREE INC,internal,Bobby L. Sasser,Gary M. Philbin,2016,2017,2018,2019
