transition_id,cik,coname,classification,predecessor,successor,pred_last_full_fy,pred_proxy_year,succ_first_full_fy,succ_proxy_year
3317,732717,AT&T INC,internal,Randall L. Stephenson,John T. Stankey,2019,2020,2021,2022
4307,798354,FISERV INC,external,"Jeffery W. Yabuki, B.S., CPA",Frank J. Bisignano,2019,2020,2021,2022
8540,1116132,TAPESTRY INC,internal,Jide J. Zeitlin,Joanne C. Crevoiserat,2019,2020,2021,2022
7060,935703,DOLLAR TREE INC,internal,Gary M. Philbin,Michael A. Witynski,2019,2020,2021,2022
838,21076,CLOROX CO/DE,internal,Benno O. Dorer,Linda Rendle,2019,2020,2021,2022
9127,1359841,HANESBRANDS INC,external,"Gerald W. Evans, Jr.",Stephen B. Bratspies,2019,2020,2021,2022
4144,1024305,COTY INC,external,Peter Harf,Sue Y. Nabi,2019,2020,2021,2022
1048,313616,DANAHER CORP,internal,"Thomas P. Joyce, Jr.",Rainer M. Blair,2019,2020,2021,2022
10105,1000697,WATERS CORP,external,Christopher James O'Connell,"Udit Batra, Ph.D.",2019,2020,2021,2022
1126,715957,DOMINION ENERGY INC,internal,"Thomas F. Farrell, II",Robert M. Blue,2019,2020,2021,2022
1457,37996,FORD MOTOR CO,internal,James Patrick Hackett,"James D. Farley, Jr.",2019,2020,2021,2022
3661,100493,TYSON FOODS INC  -CL A,external,Noel White,"Samuel Dean Banks, Jr.",2019,2020,2021,2022
1684,766704,WELLTOWER INC,internal,Thomas J. DeRosa,Shankh S. Mitra,2019,2020,2021,2022
2691,1031296,FIRSTENERGY CORP,internal,"Charles E. Jones, Jr.",Steven E. Strah,2019,2020,2021,2022
961,201533,CMS ENERGY CORP,internal,Patricia Kessler Poppe,Garrick J. Rochow,2019,2020,2021,2022
4923,832101,IDEX CORP,internal,Andrew K. Silvernail,Eric D. Ashleman,2019,2020,2021,2022
8528,1059556,MOODY'S CORP,internal,"Raymond W. McDaniel, Jr.",Robert S. Fauber,2019,2020,2021,2022
1232,31462,ECOLAB INC,internal,"Douglas M. Baker, Jr.",Christophe Beck,2020,2021,2021,2022
9981,352915,UNIVERSAL HEALTH SVCS INC,internal,Alan B. Miller,Marc D. Miller,2020,2021,2021,2022
8878,1141391,MASTERCARD INC,internal,Ajaypal S. Banga,Michael Miebach,2020,2021,2021,2022
8916,1300514,LAS VEGAS SANDS CORP,internal,Sheldon Gary Adelson,Robert G. Goldstein,2020,2021,2022,2023
9931,64803,CVS HEALTH CORP,internal,Larry J. Merlo,Karen S. Lynch,2020,2021,2022,2023
2884,78239,PVH CORP,internal,Emanuel Chirico,Stefan Larsson,2020,2021,2022,2023
3714,731766,UNITEDHEALTH GROUP INC,internal,David Scott Wichmann,Sir Andrew Witty,2020,2021,2022,2023
1262,32604,EMERSON ELECTRIC CO,internal,David N. Farr,Surendralal Karsanbhai,2020,2021,2022,2023
1858,50863,INTEL CORP,external,Robert Holmes Swan,Patrick P. Gelsinger,2020,2021,2022,2023
6630,1048286,MARRIOTT INTL INC,internal,Arne M. Sorenson,Anthony G. Capuano,2020,2021,2022,2023
890,831001,CITIGROUP INC,internal,Michael L. Corbat,Jane Fraser,2020,2021,2022,2023
167,5272,AMERICAN INTERNATIONAL GROUP,internal,Brian Charles Duperreault,Peter S. Zaffino,2020,2021,2022,2023
3840,1618921,WALGREENS BOOTS ALLIANCE INC,external,Stefano Pessina,Rosalind G. Brewer,2020,2021,2022,2023
6412,827054,MICROCHIP TECHNOLOGY INC,internal,Stephen Sanghi,Ganesh Moorthy,2020,2021,2022,2023
74,766421,ALASKA AIR GROUP INC,internal,Bradley D. Tilden,Benito Minicucci,2020,2021,2022,2023
7913,1037646,METTLER-TOLEDO INTL INC,external,Olivier A. Filliol,Patrick K. Kaltenbach,2020,2021,2022,2023
5331,1601712,SYNCHRONY FINANCIAL,internal,Margaret M. Keane,Brian D. Doubles,2020,2021,2022,2023
10156,1111928,IPG PHOTONICS CORP,internal,"Valentin P. Gapontsev, Ph.D.","Eugene Scherbakov, Ph.D.",2020,2021,2022,2023
2610,72741,EVERSOURCE ENERGY,internal,James J. Judge,"Joseph R. Nolan, Jr.",2020,2021,2022,2023
9281,1413329,PHILIP MORRIS INTERNATIONAL,internal,Andre Calantzopoulos,Jacek Olczak,2020,2021,2022,2023
802,723254,CINTAS CORP,internal,Scott D. Farmer,Todd M. Schneider,2020,2021,2022,2023
9224,1403568,ULTA BEAUTY INC,internal,Mary N. Dillon,David C. Kimbell,2020,2021,2022,2023
3662,100493,TYSON FOODS INC  -CL A,internal,"Samuel Dean Banks, Jr.",Donnie D. King,2020,2021,2022,2023
8079,1060391,REPUBLIC SERVICES INC,internal,Donald W. Slager,Jon Vander Ark,2020,2021,2022,2023
2710,1039684,ONEOK INC,external,Terry K. Spencer,"Pierce H. Norton, II",2020,2021,2022,2023
2346,310158,MERCK & CO,internal,Kenneth C. Frazier,Robert M. Davis,2020,2021,2022,2023
1827,1466258,TRANE TECHNOLOGIES PLC,internal,Michael W. Lamach,David S. Regnery,2020,2021,2022,2023
10114,1018724,AMAZON.COM INC,internal,Jeffrey P. Bezos,Andrew R. Jassy,2020,2021,2022,2023
6108,1757898,STERIS PLC,internal,"Walter M. Rosebrough, Jr.",Daniel A. Carestio,2020,2021,2022,2023
2619,72903,XCEL ENERGY INC,internal,"Benjamin Gwynn Stonestreet Fowke, III",Robert C. Frenzel,2020,2021,2022,2023
5026,821189,EOG RESOURCES INC,internal,William R. Thomas,Ezra Y. Yacob,2020,2021,2022,2023
1675,46080,HASBRO INC,internal,Brian D. Goldner,Christian P. Cocks,2020,2021,2022,2023
8402,1094285,TELEDYNE TECHNOLOGIES INC,internal,Aldo Pichelli,"Robert Mehrabian, Ph.D.",2020,2021,2022,2023
10358,1755672,CORTEVA INC,external,"James C. Collins, Jr.",Charles V. Magro,2020,2021,2022,2023
2965,80424,PROCTER & GAMBLE CO,internal,David S. Taylor,Jon R. Moeller,2020,2021,2022,2023
9122,1365135,WESTERN UNION CO,external,Hikmet Ersek,Devin B. McGranahan,2020,2021,2022,2023
4537,813672,CADENCE DESIGN SYSTEMS INC,internal,Lip-Bu Tan,"Anirudh Devgan, Ph.D.",2020,2021,2022,2023
4124,1113169,PRICE (T. ROWE) GROUP,internal,"William J. Stromberg, C.F.A.",Robert W. Sharps,2020,2021,2022,2023
8843,1267238,ASSURANT INC,internal,Alan B. Colberg,Keith W. Demmings,2020,2021,2022,2023
3694,1002910,AMEREN CORP,internal,"Warner L. Baxter, CPA, CPA","Martin J. Lyons, Jr.",2021,2022,2022,2023
1978,200406,JOHNSON & JOHNSON,internal,Alex Gorsky,Joaquin Duato,2021,2022,2023,2024
6464,884887,ROYAL CARIBBEAN CRUISES LTD,internal,Richard D. Fain,Jason T. Liberty,2021,2022,2023,2024
6824,915912,AVALONBAY COMMUNITIES INC,external,Timothy J. Naughton,Benjamin W. Schall,2021,2022,2023,2024
8762,1174922,WYNN RESORTS LTD,internal,Matthew Ode Maddox,Craig S. Billings,2021,2022,2023,2024
3312,92380,SOUTHWEST AIRLINES,internal,Gary C. Kelly,Robert E. Jordan,2021,2022,2023,2024
3965,783325,WEC ENERGY GROUP INC,internal,Joseph Kevin Fletcher,Scott J. Lauber,2021,2022,2023,2024
10167,1410636,AMERICAN WATER WORKS CO INC,internal,Walter J. Lynch,M. Susan Hardwick,2021,2022,2023,2024
2615,1111711,NISOURCE INC,external,Joseph J. Hamrock,Lloyd M. Yates,2021,2022,2023,2024
1888,51253,INTL FLAVORS & FRAGRANCES,external,Andreas Fibig,Frank Clyburn,2021,2022,2023,2024
6046,1707925,LINDE PLC,internal,Stephen F. Angel,Sanjiv Lamba,2021,2022,2023,2024
1740,354950,HOME DEPOT INC,internal,Craig A. Menear,Edward P. Decker,2021,2022,2023,2024
1327,753308,NEXTERA ENERGY INC,internal,James L. Robo,John W. Ketchum,2021,2022,2023,2024
16,6201,AMERICAN AIRLINES GROUP INC,internal,William Douglas Parker,"Robert D. Isom, Jr.",2021,2022,2023,2024
10061,829224,STARBUCKS CORP,external,Kevin R. Johnson,Laxman Narasimhan,2021,2022,2023,2024
8677,1071739,CENTENE CORP,internal,Michael Frederic Neidorff,Sarah M. London,2021,2022,2023,2024
4610,818479,DENTSPLY SIRONA INC,external,"Donald M. Casey, Jr.",Simon D. Campion,2021,2022,2023,2024
5303,1601046,KEYSIGHT TECHNOLOGIES INC,internal,Ronald S. Nersesian,Satish C. Dhanasekaran,2021,2022,2023,2024
2601,702165,NORFOLK SOUTHERN CORP,internal,James A. Squires,Alan H. Shaw,2021,2022,2023,2024
4239,906163,NVR INC,internal,Paul C. Saville,Eugene J. Bredow,2021,2022,2023,2024
9324,1442145,VERISK ANALYTICS INC,internal,Scott G. Stephenson,Lee M. Shavel,2021,2022,2023,2024
2150,59558,LINCOLN NATIONAL CORP,internal,Dennis Robert Glass,Ellen G. Cooper,2021,2022,2023,2024
7081,940944,DARDEN RESTAURANTS INC,internal,"Eugene I. Lee, Jr.",Ricardo Cardenas,2021,2022,2023,2024
10067,891103,MATCH GROUP INC,external,Sharmistha Dubey,Bernard Kim,2021,2022,2023,2024
1336,1048911,FEDEX CORP,internal,Frederick W. Smith,Rajesh Subramaniam,2021,2022,2023,2024
10152,1336917,UNDER ARMOUR INC,external,Patrik Frisk,Stephanie Linnartz,2021,2022,2023,2024
3366,93556,STANLEY BLACK & DECKER INC,internal,James M. Loree,"Donald Allan, Jr.",2021,2022,2023,2024
10375,1534701,PHILLIPS 66,internal,Greg C. Garland,Mark E. Lashier,2021,2022,2023,2024
1371,35527,FIFTH THIRD BANCORP,internal,Gregory D. Carmichael,Timothy N. Spence,2021,2022,2023,2024
10316,1418135,KEURIG DR PEPPER INC,internal,Robert J. Gamgort,Ozan Dokmecioglu,2021,2022,2023,2024
1027,26172,CUMMINS INC,internal,Norman Thomas Linebarger,Jennifer W. Rumsey,2021,2022,2023,2024
661,721371,CARDINAL HEALTH INC,internal,Michael C. Kaufmann,Jason M. Hollar,2021,2022,2023,2024
9584,723531,PAYCHEX INC,internal,Martin Mucci,John B. Gibson,2021,2022,2023,2024
7669,1022079,QUEST DIAGNOSTICS INC,internal,Stephen H. Rusckowski,James E. Davis,2021,2022,2023,2024
1124,29534,DOLLAR GENERAL CORP,internal,Todd J. Vasos,Jeffery C. Owen,2021,2022,2023,2024
9883,18926,LUMEN TECHNOLOGIES INC,external,Jeffrey K. Storey,Kate Johnson,2021,2022,2023,2024
10213,1418135,KEURIG DR PEPPER INC,internal,Ozan Dokmecioglu,Robert J. Gamgort,2021,2022,2023,2024
2868,1109357,EXELON CORP,internal,Christopher Mark Crane,"Calvin G. Butler, Jr.",2021,2022,2023,2024
